from,to,relation,time,duration
SenMey,JakSte,1,1903,7
JakSte,SenMey,1,1903,7
SenMey,SidSte,1,1903,7
SidSte,SenMey,1,1903,7
SidSte,JakSte,6,99,99
JakSte,SidSte,6,99,99
SenMey,AlbMey,7,1921,4
AlbMey,SenMey,7,1921,4
SenMey,FriMey,1,1927,7
FriMey,SenMey,1,1927,7
SenMey,GerMey,1,1922,7
GerMey,SenMey,1,1922,7
GerMey,FriMey,1,1927,7
FriMey,GerMey,1,1927,7
SenMey,LorMey,1,1925,7
LorMey,SenMey,1,1925,7
FriMey,LorMey,1,1927,7
LorMey,FriMey,1,1927,7
GerMey,LorMey,1,1925,7
LorMey,GerMey,1,1925,7
SenMey,IlsMey,1,1930,7
IlsMey,SenMey,1,1930,7
IlsMey,FriMey,1,1930,7
FriMey,IlsMey,1,1930,7
IlsMey,LorMey,1,1930,7
LorMey,IlsMey,1,1930,7
IlsMey,GerMey,1,1930,7
GerMey,IlsMey,1,1930,7
AlbMey,FriMey,1,1927,7
FriMey,AlbMey,1,1927,7
AlbMey,LorMey,1,1925,7
LorMey,AlbMey,1,1925,7
AlbMey,GerMey,1,1922,7
GerMey,AlbMey,1,1922,7
AlbMey,IlsMey,1,1930,7
IlsMey,AlbMey,1,1930,7
SidSte,AlbMey,1,1921,4
AlbMey,SidSte,1,1921,4
JakSte,AlbMey,1,1921,4
AlbMey,JakSte,1,1921,4
SidSte,FriMey,1,1927,7
FriMey,SidSte,1,1927,7
SidSte,GerMey,1,1922,7
GerMey,SidSte,1,1922,7
SidSte,LorMey,1,1925,7
LorMey,SidSte,1,1925,7
SidSte,IlsMey,1,1930,7
IlsMey,SidSte,1,1930,7
JakSte,FriMey,1,1927,7
FriMey,JakSte,1,1927,7
JakSte,GerMey,1,1922,7
GerMey,JakSte,1,1922,7
JakSte,LorMey,1,1925,7
LorMey,JakSte,1,1925,7
JakSte,IlsMey,1,1930,7
IlsMey,JakSte,1,1930,7
JenGri,EugGri,6,1922,6
EugGri,JenGri,6,1922,6
SidSte,JenGri,1,1895,7
JenGri,SidSte,1,1895,7
SidSte,EugGri,1,1922,6
EugGri,SidSte,1,1922,6
JakSte,JenGri,1,1895,7
JenGri,JakSte,1,1895,7
EugGri,JakSte,1,1922,6
JakSte,EugGri,1,1922,6
JenGri,SenMey,1,1903,7
SenMey,JenGri,1,1903,7
EugGri,SenMey,1,1922,6
SenMey,EugGri,1,1922,6
JenGri,AlbMey,1,1921,4
AlbMey,JenGri,1,1921,4
EugGri,AlbMey,1,1922,4
AlbMey,EugGri,1,1922,4
