from,to,relation,time,duration
IsrWei,LuiWei,6,99,6
IsrWei,LydWei,1,1899,7
IsrWei,ClaWei,1,1902,7
IsrWei,OlgWei,1,1905,7
IsrWei,DavWei,1,1908,7
IsrWei,PauWei,1,1910,7
IsrWei,FanWei,1,1911,7
IsrWei,SieWei,1,1914,7
IsrWei,HelWei,1,1915,7
IsrWei,JulWei,1,1919,7
IsrWei,EriWei,1,99,7
LuiWei,IsrWei,6,99,6
LuiWei,LydWei,1,1899,7
LuiWei,ClaWei,1,1902,7
LuiWei,OlgWei,1,1905,7
LuiWei,DavWei,1,1908,7
LuiWei,PauWei,1,1910,7
LuiWei,FanWei,1,1911,7
LuiWei,SieWei,1,1914,7
LuiWei,HelWei,1,1915,7
LuiWei,JulWei,1,1919,7
LuiWei,EriWei,1,99,7
LydWei,IsrWei,1,1899,7
LydWei,LuiWei,1,1899,7
LydWei,ClaWei,1,1902,7
LydWei,OlgWei,1,1905,7
LydWei,DavWei,1,1908,7
LydWei,PauWei,1,1910,7
LydWei,FanWei,1,1911,7
LydWei,SieWei,1,1914,7
LydWei,HelWei,1,1915,7
LydWei,JulWei,1,1919,7
LydWei,EriWei,1,99,7
ClaWei,IsrWei,1,1902,7
ClaWei,LuiWei,1,1902,7
ClaWei,LydWei,1,1902,7
ClaWei,OlgWei,1,1905,7
ClaWei,DavWei,1,1908,7
ClaWei,PauWei,1,1910,7
ClaWei,FanWei,1,1911,7
ClaWei,SieWei,1,1914,7
ClaWei,HelWei,1,1915,7
ClaWei,JulWei,1,1919,7
ClaWei,EriWei,1,99,7
OlgWei,IsrWei,1,1905,7
OlgWei,LuiWei,1,1905,7
OlgWei,LydWei,1,1905,7
OlgWei,ClaWei,1,1905,7
OlgWei,DavWei,1,1908,7
OlgWei,PauWei,1,1910,7
OlgWei,FanWei,1,1911,7
OlgWei,SieWei,1,1914,7
OlgWei,HelWei,1,1915,7
OlgWei,JulWei,1,1919,7
OlgWei,EriWei,1,99,7
DavWei,IsrWei,1,1908,7
DavWei,LuiWei,1,1908,7
DavWei,LydWei,1,1908,7
DavWei,ClaWei,1,1908,7
DavWei,OlgWei,1,1908,7
DavWei,PauWei,1,1910,7
DavWei,FanWei,1,1911,7
DavWei,SieWei,1,1914,7
DavWei,HelWei,1,1915,7
DavWei,JulWei,1,1919,7
