id,name,type,sex,family function,religion,organisation,profession,origin,death,education,nationality,year birth,year death
WalLev,Walter Levi,1,1,1,99,99,5,10,9,99,1,1899,1945
HanLev,Hannah Levi,1,2,2,99,99,99,9,9,99,1,1900,1945
MaxSch,Max Schuster,1,1,99,99,99,5,99,99,99,99,99,99
Urb66,Urbanstraße 66,2,99,99,99,1,99,99,99,99,99,99,99
JulLev,Julius Levi,1,1,15,99,99,6,99,99,99,1,99,99
CarKah,Carl Kahn,1,1,99,99,99,5,99,99,99,99,99,99
Ale81,Alexanderstraße 81,2,99,99,99,3,99,99,99,99,99,99,99
SofLev,Sofie Levi,1,2,4,99,99,99,2,9,99,1,1928,1945
RosLev,Rosa Levi,1,2,4,99,99,99,2,9,99,1,1929,1945
EriLev,Erich Levi,1,1,3,99,99,99,2,9,99,1,1932,1945
AugLev,Auguste Levi,1,2,4,99,99,99,2,9,99,1,1933,1945
AlbLev,Albert Levi,1,1,3,99,99,99,2,9,99,1,1938,1945
Rei107,Reinsburgstraße 107,2,99,99,99,8,99,99,99,99,99,99,99
Rig,Riga,2,99,99,99,2,99,99,99,99,99,99,99
KlaLev,Klara Levi,1,2,5,99,99,99,11,5,99,1,1869,1942
Hai,Haigerloch,2,99,99,99,3,99,99,99,99,99,99,99
The,KZ Theresienstadt,2,99,99,99,2,99,99,99,99,99,99,99
WerLev,Werner Levi,1,1,3,99,99,99,2,,99,1,1941,1945
Fra,Frankfurt,2,99,99,99,3,99,99,99,99,99,99,99
SchBue,Handlung für Schreibmaschinen und Büroartikel,2,99,99,99,1,99,99,99,99,99,99,99
GarTex,Handlung für Garne und Textilwaren,2,99,99,99,1,99,99,99,99,99,99,99
Stu,Stuttgart,2,99,99,99,3,99,99,99,99,99,99,99
JueFre,Jüdische Fremdherberge,2,99,99,99,1,99,99,99,99,99,99,99
Sta,Stadtverwaltung,2,99,99,99,99,99,99,99,99,99,99,99
Jud,Judenhaus,2,99,99,99,8,99,99,99,99,99,99,99
Bik,Bikernieki,2,99,99,99,99,99,99,99,99,99,99,99
MutHan,Mutter Hannah,1,2,5,99,99,99,99,99,99,1,99,99
