from,to,relation,time,duration
ChaZan,Blu27,3,1923,4
MosZan,Blu27,3,1923,4
CilZan,Blu27,3,1923,4
SalZan,Blu27,3,1923,4
MetZan,Blu27,3,1923,4
ChaZan,Tar,4,1939,2
MosZan,Tar,4,1939,2
CilZan,Tar,4,1939,2
SalZan,Tar,4,1939,2
MetZan,Tar,4,1939,2
MosZan,ChaZan,1,99,7
ChaZan,MosZan,1,99,7
ChaZan,CilZan,1,1929,7
CilZan,ChaZan,1,1929,7
ChaZan,SalZan,1,1924,7
SalZan,ChaZan,1,1924,7
ChaZan,MetZan,1,1927,7
MetZan,ChaZan,1,1927,7
MosZan,CilZan,1,1929,7
CilZan,MosZan,1,1929,7
MosZan,SalZan,1,1924,7
SalZan,MosZan,1,1924,7
MosZan,MetZan,1,1927,7
MetZan,MosZan,1,1927,7
CilZan,SalZan,1,1929,7
SalZan,CilZan,1,1929,7
CilZan,MetZan,1,1929,7
MetZan,CilZan,1,1929,7
SalZan,MetZan,1,1927,7
MetZan,SalZan,1,1927,7
ChaZan,ShoKat,7,99,99
ShoKat,ChaZan,7,99,99
ChaZan,AlbKat,1,1913,7
AlbKat,ChaZan,1,1913,7
ChaZan,LeoKat,1,1915,7
LeoKat,ChaZan,1,1915,7
ShoKat,AlbKat,1,1913,7
AlbKat,ShoKat,1,1913,7
ShoKat,LeoKat,1,1915,7
LeoKat,ShoKat,1,1915,7
LeoKat,AlbKat,1,1915,7
AlbKat,LeoKat,1,1915,7
AlbKat,LisWel,6,1942,1
LisWel,AlbKat,6,1942,1
MosZan,EllZan,1,1922,7
EllZan,MosZan,1,1922,7
EllZan,RecZan,1,1922,7
RecZan,EllZan,1,1922,7
MosZan,RecZan,1,1921,7
RecZan,MosZan,1,1921,7
MosZan,Ben,3,1938,1
RecZan,Ben,3,1938,1
EllZan,Ben,3,1938,1
EllZan,Blu27,3,1923,4
RecZan,Blu27,3,1923,4
EllZan,Pal,3,1939,6
RecZan,Pal,3,99,99
AlbKat,Blu27,3,1923,4
LeoKat,Blu27,3,1923,4
AlbKat,Heu,4,99,99
AlbKat,Bel,3,99,99
AlbKat,Aus,4,1942,1
LeoKat,Str,3,1936,99
LeoKat,Kub,3,99,99
LeoKat,USA,3,99,99
